,0,1
1114,1000,69
1115,900,438
1116,1100,742
1117,1600,978
1118,1500,984
1119,6500,551
1120,1500,220
1121,1300,202
1122,1900,211
1123,3500,772
1124,1400,472
1125,1000,553
1126,1100,718
1127,1400,577
1128,2300,650
1129,1100,704
1130,900,807
1131,1700,519
1132,900,742
1133,1200,742
1134,700,1037
1135,1000,295
1136,2300,76
1137,800,160
1138,1500,698
1139,1800,1079
1140,1500,1043
1141,1300,873
1142,900,1108
1143,2900,582
1144,2000,1107
1145,100,1039
1146,1200,75
1147,1400,401
1148,700,949
1149,2000,518
1150,1100,742
1151,2500,747
1152,2300,191
1153,1500,114
1154,400,288
1155,1700,809
1156,3100,188
1157,600,20
1158,700,741
1159,1000,404
1160,800,653
1161,1800,1043
1162,2400,1076
1163,1800,652
1164,1600,767
1165,700,335
1166,300,890
1167,800,451
1168,2600,195
1169,2000,984
1170,1700,740
1171,1700,553
1172,500,144
1173,900,886
1174,900,890
1175,1700,75
1176,1500,773
1177,1200,553
1178,2800,1077
1179,2500,807
1180,1000,1037
1181,5300,920
1182,1100,400
1183,1600,576
1184,2700,553
1185,1600,767
1186,2500,520
1187,1400,766
1188,2800,1073
1189,1600,337
1190,1600,884
1191,2800,438
1192,1600,742
1193,1500,878
1194,1500,374
1195,1400,742
1196,2300,473
1197,2000,977
1198,1400,373
1199,1300,520
1200,1200,1078
1201,1100,373
1202,1200,160
1203,2000,1110
1204,1500,948
1205,1000,400
1206,800,949
1207,2000,155
1208,2100,807
1209,1600,949
1210,800,1076
1211,1100,119
1212,2100,773
1213,800,2
1214,1000,948
1215,800,949
1216,1900,742
1217,1400,861
1218,1500,554
1219,600,25
1220,1000,743
1221,1000,405
1222,1900,700
1223,1200,370
1224,2000,1045
1225,2000,978
1226,1300,220
1227,600,64
1228,700,574
1229,900,371
1230,1800,337
1231,2000,1049
1232,1100,458
1233,700,1110
1234,1300,718
1235,1200,1037
1236,2100,553
1237,1500,697
1238,3000,982
1239,1000,403
1240,1000,1040
1241,2000,550
1242,800,914
