,Parent,Child,Day,TimeSpan,DistanceMeter,In5Mins
9235,강남,세곡,1,11,1700,1
9236,도봉,창동,1,11,2000,1
9237,동대문,장안,1,12,800,1
9238,마포,성산,1,13,1500,1
9239,강남,영동,1,13,1200,1
9240,성동,왕십리,1,15,700,0
9241,구로,고일,1,19,600,1
9242,구로,고일,1,19,2200,1
9243,중랑,면목,1,19,2500,0
9244,영등포,영등포,1,19,1300,1
9245,성동,행당,1,23,3000,1
9246,노원,상계,2,3,600,1
9247,광진,구의,2,8,1900,1
9248,동대문,용두,2,10,1200,1
9249,강서,등촌,2,13,1300,1
9250,도봉,창동,2,15,700,1
9251,서초,잠원,2,15,3000,0
9252,구로,독산,2,16,1000,1
9253,중부,신당,2,21,800,1
9254,양천,신월,2,22,2000,1
9255,관악,관악,3,0,3100,1
9256,강동,성내,3,2,400,1
9257,서대문,미근,3,9,1200,1
9258,강남,수서,3,10,500,1
9259,마포,서교,3,11,1600,1
9260,종로,신영,3,12,1200,1
9261,강서,발산,3,13,1200,1
9262,강서,방화,3,14,2200,1
9263,강북,우이,3,16,1500,1
9264,구로,구로,3,17,800,0
9265,동대문,청량리,3,18,1100,1
9266,강남,영동,3,19,1900,1
9267,서초,반포,3,19,1500,1
9268,용산,한강로,4,0,2500,1
9269,중부,무학,4,0,500,1
9270,강남,영동,4,3,900,1
9271,노원,월계,4,3,2300,1
9272,서초,방배,4,4,500,1
9273,강서,등촌,4,5,800,1
9274,중랑,면목,4,7,400,1
9275,서대문,연희,4,7,900,1
9276,송파,거여,4,9,1000,1
9277,중부,신당,4,12,1200,1
9278,용산,이태원,4,12,1500,1
9279,종로,연건,4,13,1500,1
9280,영등포,영등포,4,14,2000,0
9281,마포,공덕,4,15,700,0
9282,양천,신트리,4,17,1200,1
9283,강서,등촌,4,20,2100,1
9284,동대문,청량리,4,20,500,1
9285,중랑,중화,4,21,2000,1
9286,구로,시흥,4,21,300,1
9287,강동,천호,4,21,1400,1
9288,강동,성내,4,22,1700,1
9289,송파,방이,4,23,2000,0
9290,영등포,여의도,5,0,2500,1
9291,영등포,대림,5,2,1000,1
9292,마포,염리,5,5,1000,1
9293,서초,서초,5,6,1800,1
9294,강서,개화,5,7,4400,0
9295,구로,시흥,5,7,1500,1
9296,마포,신수,5,7,700,1
9297,송파,마천,5,9,2300,1
9298,구로,구로,5,12,1000,1
9299,양천,신월,5,13,1900,1
9300,도봉,도봉,5,14,4000,1
9301,성북,길음,5,16,1400,1
9302,강서,방화,5,17,1100,1
9303,강동,성내,5,17,1000,1
9304,영등포,당산,5,18,1000,0
9305,중랑,중화,5,19,1000,1
9306,용산,후암,5,21,1000,1
9307,은평,녹번,6,0,3500,1
9308,동대문,휘경,6,0,1500,1
9309,강남,영동,6,0,2800,0
9310,중부,을지,6,4,1500,1
9311,영등포,영등포,6,4,1500,1
9312,강남,영동,6,6,2300,1
9313,서대문,연희,6,9,2000,1
9314,노원,공릉,6,10,800,1
9315,강북,삼각산,6,10,1600,1
9316,서초,잠원,6,11,3900,1
9317,서초,서초,6,11,1600,1
9318,송파,방이,6,12,2000,0
9319,중부,을지,6,12,1500,0
9320,동대문,장안,6,13,1200,1
9321,강남,역삼,6,14,2200,1
9322,강남,역삼,6,15,1400,1
9323,구로,수궁,6,16,800,1
9324,강동,암사,6,17,200,1
9325,서대문,연희,6,17,2300,1
9326,강남,삼성,6,18,1800,1
9327,도봉,창동,6,18,2000,1
9328,구로,시흥,6,19,1100,1
9329,중부,신당,6,19,1000,1
9330,중부,충무,6,20,1600,1
9331,용산,한강로,6,20,1500,1
9332,강북,번동,6,21,1700,1
9333,관악,관악,6,21,3000,0
9334,서대문,북가좌,0,1,2200,1
9335,용산,이태원,0,1,300,1
9336,용산,한강로,0,3,1500,1
9337,노원,상계,0,3,800,1
9338,중부,을지,0,4,1500,1
9339,관악,봉천,0,8,1200,1
9340,동작,동작,0,8,2000,1
9341,강남,역삼,0,12,800,1
9342,용산,이촌,0,12,1000,1
9343,은평,역촌,0,13,1100,1
9344,영등포,여의도,0,13,1200,1
9345,성동,행당,0,14,1000,1
9346,종로,연건,0,14,1500,1
9347,종로,숭인,0,15,600,1
9348,송파,가락,0,15,2000,1
9349,영등포,영등포,0,16,1000,1
9350,구로,공단,0,17,100,1
9351,용산,한강로,0,17,2500,1
9352,은평,수색,0,18,2800,1
9353,중랑,망우,0,18,2400,0
9354,서대문,연희,0,18,3100,1
9355,구로,구로,0,18,900,1
9356,강서,발산,0,19,1700,0
9357,종로,숭인,0,21,200,1
9358,용산,이태원,0,21,1000,1
9359,마포,서교,0,23,1500,1
9360,서초,서초,1,0,1500,1
9361,서초,방배,1,1,3000,0
9362,종로,신영,1,2,1300,1
9363,용산,이태원,1,4,1000,0
9364,도봉,쌍문,1,11,3500,1
9365,강서,화곡,1,13,2200,1
9366,송파,운동장,1,14,2000,0
9367,광진,능동,1,15,1100,1
9368,강남,수서,1,17,2200,1
9369,강동,길동,1,17,3000,0
9370,동작,노량진,1,19,500,1
9371,중부,무학,1,23,1000,1
9372,종로,세종로,2,0,1000,1
9373,강남,삼성,2,0,2300,1
9374,노원,상계,2,3,1900,1
9375,송파,방이,2,4,3300,1
9376,종로,숭인,2,7,2600,1
9377,노원,하계,2,9,1700,1
9378,서초,서초,2,10,2000,0
9379,동작,상도,2,12,2800,0
9380,성동,왕십리,2,13,600,1
9381,강남,역삼,2,13,2300,0
9382,영등포,대림,2,14,1800,1
9383,광진,구의,2,16,2200,1
9384,서대문,연희,2,17,2500,1
9385,영등포,당산,2,19,1300,1
9386,관악,관악,2,20,2400,0
9387,구로,시흥,2,20,2100,1
9388,강서,화곡,2,21,1000,1
9389,마포,서교,2,21,1000,1
9390,송파,방이,2,21,4000,1
9391,성동,행당,2,23,700,1
9392,강남,영동,3,5,1500,1
9393,송파,가락,3,10,1600,1
9394,노원,공릉,3,10,1300,1
9395,강서,등촌,3,11,1600,1
9396,동대문,청량리,3,12,1000,1
9397,성북,장위,3,14,1000,1
9398,구로,구로,3,14,2300,1
9399,양천,신월,3,14,1200,1
9400,용산,이태원,3,15,2000,1
9401,영등포,당산,3,22,500,1
9402,강동,천호,3,23,400,1
9403,성동,행당,4,0,1000,1
9404,구로,공단,4,0,1100,1
9405,구로,구로,4,2,1200,1
9406,서대문,연희,4,2,3300,0
9407,송파,마천,4,3,2800,1
9408,송파,거여,4,4,500,1
9409,강서,개화,4,10,1500,1
9410,관악,난곡,4,11,800,1
9411,강동,고덕,4,12,3000,0
9412,구로,공단,4,13,2000,1
9413,종로,숭인,4,15,1300,1
9414,은평,녹번,4,16,2100,1
9415,도봉,방학,4,16,1100,1
